NPI	CLIA	NPI_POID_20160725	CLIA_POID_20160725
1578571980	21D0722438	POW20Q94	PO57PN92
1346310851	52D0662012	PODRBV35	POBKUF07
1003954827	14D1001048	POQHK6E8	PO878DD5
1427413103	23D2014284	POC0JR29	POQ7A0C4
1346271251	44D0915029	POND0P06	PO456U98
1659352276	05D0571204	PO0KXNA4	POBH5V91
1407828114	50D1036807	POKP5HJ6	POVPEHB7
1992895643	05D0969790	POP67GB8	POT6CUU1
1720118102	19D0672493	POAX14M1	PO20T7H6
1053424648	10D0274519	POQT39J5	PO0FH0D8
1376584110	25D0651756	POJW0VB0	POGJ2N12
1639397953	04D0891911	PORA3EM0	POBBM6R9
1760689871	10D0286650	POC0U543	PO6W1VQ3
1376591941	19D0689385	POVW6F63	PO7WR028
1780029173	22D2001287	POQW9U63	PO40FCV6
1649264300	05D1021650	POUTF980	POGUN0M0
1851487086	19D1075504	PONEQ7G1	PO7KABT5
1841241544	45D0509577	PO1F03W5	POQPDKE8
1184917924	35D0655613	PO00T747	PO9B36W3
1851613764	03D2024612	POXT4KW9	POHW7224
1205846037	37D1059452	POW5DDK7	PO4QGQ22
1235222001	05D0642839	PO6XEUB2	POE14KB0
1043366933	05D0643971	POUTEJF8	POJUTTJ1
1164473039	33D0163075	POWBMPD9	PO6CF5X8
1851396576	05D0643174	POW25KR2	PO6XMWA2
1578520946	39D0656976	POBXJBM7	PO7373N7
1386743045	10D0705992	PO1Q7UT3	POPKKAK4
1255319372	05D0596114	PON95V64	POUR05E7
1821253584	05D1089250	PO83RBG3	PO8247Q2
1508828773	45D0659993	PODADBH7	POTHRU78
1801877048	39D0657071	PO9EKM62	POGQRU54
1467403477	45D0498543	POA565V8	PO90M5V3
1275721888	05D0926599	POXTJCU8	PO895P78
1194782409	17D0450154	PO41HT16	POR4A4E8
1790023547	31D2053667	PORRC2J8	POEKBKN0
1083609150	04D1000882	POWXWMB0	POVVR083
1659359446	05D0721590	PO9NK1J7	PO1MRUC0
1285610733	15D0358154	POCKM6E2	POJHFDU8
1265587000	33D0931673	PO478DT5	POMN6R44
1487632998	21D0969951	POP8WT06	POPPQCX1
1013900778	05D0550276	POUBX8Q4	PO8DRJ04
1275570376	49D0231664	POTQ2TF8	POUHJX70
1922086990	26D0442572	POB0J6C5	POAA8X32
1093810327	45D0504523	PODKXV20	POQH1GU7
1841493103	44D0883576	PO1TN2F2	POV3P929
1033210166	14D0417762	POV7RUX9	POTK9A90
1447682380	05D0596114	PO5R1516	POUR05E7
1215305198	17D1086722	POH254R7	PO6TGX77
1700861895	44D0875493	POD2V6H5	POJVWMT5
1982799375	32D0535343	POK4NM24	POU40RV0
1740279959	05D0602367	PO3QMC03	PO4V9P72
1033203393	45D0660475	POQCM8K8	PONDU4T5
1518111236	45D0491593	PO2J2AX6	POUJ4KA4
1104968916	37D0475062	PO83JF16	PO0R98K9
1134148992	10D1021746	PO8T7R79	PO3DA4T9
1235222001	05D0980136	PO6XEUB2	POPVQ0N7
1538244918	18D0323098	PO0U6E52	POMVR1K0
1255360160	29D1046210	POVRGVW1	POUXWF97
1083769467	45D2057348	PO68RW48	POXB4TE4
1679578439	45D0483323	POCM5649	POTHWQR5
1730169491	17D0453211	PO3FCXF9	POPGKUV5
1235256884	45D0052065	PO410D24	POQKNFF2
1700855533	28D0456314	PODXK4B4	POJH6C32
1508959289	25D0982713	PO0B5577	PONCX9R2
1780029173	22D0650288	POQW9U63	PO3W28C5
1790720993	05D0644110	PO9H2T10	PO6FK8X2
1992787030	50D0633091	PO8JKQF2	PO4X5JP1
1952386443	05D0665463	PO7N0DV0	POTKQW53
1831392760	34D0655246	POUF46M9	PO4NFFB2
1174553796	04D0466006	POAEFEQ7	POJHFV55
1477695583	52D0671036	POT5J506	PO727349
1346274537	33D0654102	POPWREJ0	PO3VQP51
1760658371	36D1023688	PO21GDX9	POVR35R9
1962743484	50D1022471	PO0TTXK7	PO6U2UJ1
1821213513	47D1068228	POKHPTV8	PO9R31R7
1750630885	05D0580755	POPCR239	POCQVF76
1770835472	27D2036902	POJ54458	PODCG4F0
1396720199	22D0926993	PO99F6W7	PO433MG2
1992880058	03D0533517	PO3WC973	POUVCWA0
1619900859	05D0681664	POTRRAC2	POQK1616
1073642641	05D0917432	POXQ7NQ8	PO2C3W36
1811973100	19D0648865	PO37P2K3	POQVPW61
1699884858	03D1067228	POQ0VJQ4	POR4EVJ8
1245275106	05D0965845	PO4VT7F4	PO0KD357
1033168489	04D0642098	POH5KQX8	POJMPA72
1144321951	18D0664431	PO3F6VJ3	PO8DXCT1
1639279045	36D0924810	POE36A15	PO7V98U5
1598911885	34D0241781	POPQ0K13	PO0QGNB0
1235214198	05D0862274	POUKT7J0	PO5TUPN1
1831167196	04D0891911	PORA3EM0	POBBM6R9
1275533085	05D0980136	PO16GE54	POPVQ0N7
1073678330	18D0320857	PO41RGH4	POCD21X4
1295721090	10D0288212	POXRKA76	POM7TTX2
1902963358	36D1013069	PO0BT644	POEE2PK4
1629472808	23D2084301	POGVMQD8	PO0JDRN3
1467766550	10D0999764	PO5FTA33	PO855E93
1912007931	36D0347539	POT5E3Q3	POVWX733
1427120336	23D0859096	PONB7079	POEXP9N0
1942497151	21D0723806	PONX1CH3	POJ352T0
1306238191	52D0989506	PO9AT0A1	POTVUGF9
1023236528	50D1064447	POTF4MC8	POFGUD00
1952347791	22D0076229	PORDJ4M2	POM5KGR1
1104870245	10D0294528	PORUNC60	PO14Q0P6
1013925106	18D0931856	PODP8BA0	PO3P7HW8
1770521403	45D0483328	POJMMEB8	PO4X6PA6
1871898841	06D2028302	POD3VVT9	PODM6UV5
1972754232	36D0966776	PO3QKNF7	PO17TVA9
1861435042	39D0184376	PO40UD34	POBEJ6R2
1578576559	39D0715039	PO2F1NB1	PO1UC5W5
1104951912	05D0643873	POECMWQ9	PODA1WJ7
1568461572	19D0463554	PO41GD48	PO60RHN0
1588665566	11D0262761	PO2MCRA6	POG944K9
1396954152	45D0493380	POFQHDR9	PORJ70V8
1750353462	34D0239935	POQMQ6V0	POMMXUV6
1831177203	05D0678389	POB1WXB6	PO9UGGW7
1306182563	45D0483323	POCM5649	POTHWQR5
1275533085	05D0642839	PO16GE54	POE14KB0
1518067586	05D0564307	POU7XHU9	POJFCAD6
1083635163	23D0650611	POVBTX34	POHM79Q6
1689846974	18D0323098	PO0U6E52	POMVR1K0
1609812213	05D0613795	POWAP893	PO9EGD66
1154474344	32D0674525	PO8G8RX0	PO2CP4R9
1154355188	03D0531007	POACCM32	POXPRQ52
1891857637	01D0641798	PO88DDE6	POFPWM99
1245494517	05D1075048	POG2M915	POMEHU82
1811165475	45D1079612	PO5VTMW0	PO9D8JX7
1982872180	39D0715039	POB73NG0	PO1UC5W5
1417280538	01D1104754	PO5NE7B2	POG0R1E1
1235108440	11D1003568	PONNJHP7	POXJWW93
1124417357	44D1083455	PO5F1R62	PO7ETDR2
1366436123	19D0649172	PO402U43	POHM84J9
1245402569	37D2080372	PONHTNH2	PO8JK9U4
1043368939	44D0913215	PO6967J4	POD4VKN5
1083650816	26D0652092	POJGRDV4	POMPXG30
1184612764	12D0690609	PO4RDMK6	PO12K3X4
1447359997	36D1043349	POCEG3F6	PO059UC2
1881626943	05D0642889	PO8KCF75	PO1JNKU9
1912142019	45D0665458	POQDQRE4	POVN4M01
1639101199	28D0456628	POCE4K67	PO7WP654
1497705537	05D0883963	POWFB4P4	POVHH411
1700885076	45D0484177	POBG99G3	PODT8K38
1124091509	10D0275299	POC732X9	POQG2MK0
1699726406	45D0477588	POR33G17	PO0N01W8
1104808062	33D0142068	PODXB4R1	POAQCQE6
1275675217	52D0388238	POWPGWH7	POBU8HN2
1902848294	49D0911343	PO2J1NG2	PO43HUG5
1730367541	45D0659922	PONRM351	PO7QHA21
1063498517	32D0537453	PONVT296	PO6HKWG8
1861432361	35D1026068	POUUJ131	POXQAEX2
1811325442	10D2022907	POKTBKR1	POP724Q7
1932166386	11D1096780	PO9G2RB4	PONCEV95
1770529513	37D0987653	PO043DT7	PO0P8EA8
1861439952	29D0538858	POPAMJ74	PO5PXR69
1174573596	45D1043700	POWBN4E6	PO69EXM8
1174859714	25D2001454	PO7M0TP2	PONNRNX1
1063462604	10D0692983	PO385QT4	PO5VJG99
1255353934	43D0906417	PO1P3FU5	PO9GU441
1821095167	01D0641760	POFNTAV9	PO6C0VA7
1245544923	19D0464310	POHXW3W1	POAMUK46
1033363270	10D1063307	POE22MA2	PO47K1J0
1083765739	39D0193493	POGKB853	PO095FK4
1043292899	44D0312541	POG68V84	POU2G1F1
1720004450	06D0516683	POND73W6	POD9H130
1033154026	36D1022163	POWBU6M7	PO37TTM7
1326223041	45D1014980	PORA9Q29	PO0WD0M7
1619928017	49D0225211	PO18BTB6	POQ0AGV4
1922040591	36D0656146	POP6G7U4	PO0VACH5
1477517225	21D0219804	PO30W3D8	POVT6BB4
1487771812	29D1070766	POVGJB40	PO9GUPW7
1134191323	10D0023780	POVBR0H7	PO1W0HU2
1326311721	43D0906417	POCM4535	PO9GU441
1700801909	45D0664138	PO3BTCW0	POJFBAX5
1578559365	23D0381295	POU3RAE8	POEMX6V6
1023253556	05D0642547	POJC69G4	PO46J1A3
1649227265	38D2015262	PORQKA28	POCXFQH5
1609827484	24D0651212	POXJJBF1	POQXPGA8
1649299827	26D0438670	PO4R4505	POURKEG8
1043583537	43D0906417	PO2CFVN8	PO9GU441
1104122365	45D1043700	PO908683	PO69EXM8
1699880591	23D0679485	PO545WN5	POKU4AB3
1417992249	19D0049026	PO1EGJE3	PO2Q0088
1104128859	06D2028302	POFR8N37	PODM6UV5
1194954875	18D1102645	POKDR8N7	PO5K1UH5
1477500841	45D0892859	PONRQPF2	POUF1W19
1699961086	10D0969130	POX4TBQ7	PO280JU8
1023409612	18D0931856	POGBQ430	PO3P7HW8
1104045749	05D0571204	PO0KXNA4	POBH5V91
1619081429	11D0944193	PORHTNV0	POXTHHJ3
1316938301	05D0609686	PO8464D3	POGU5XA7
1841375094	07D0995237	PO19P3X3	POAT9HK8
1932182599	33D0009065	POM41K04	PO3RCNJ8
1326206228	39D0177186	PO865QR2	PO9JW311
1508827924	29D0966835	PO5PQWN2	PO2VA5D8
1326282807	36D0343411	POGHPAD4	PO425T68
1275739815	45D1067054	PO9A6JH8	PO8QCH73
1629117072	23D1056097	PODE6A72	PO0FK5U0
1861675530	23D0377033	POB9JM57	POM9NB65
1568410264	11D0265621	POUP0U69	POF591X9
1699947945	43D0658962	PO6MH979	POHMFBM3
1396765681	36D0340517	POE0WCR2	POB7PJ34
1922270792	10D1074257	POJGTRJ3	POUNUN55
1326071424	33D0940977	POH8PTU6	PO2B17C8
1962662791	44D0931669	PODWW179	POHCHTJ8
1225194574	35D0655616	POKG3CJ1	PO6W3V39
1851583991	17D1022324	PO9ND4N0	POW21B42
1942206719	05D0644136	PO5M6HA2	PO49WMR7
1376970236	01D0986730	POFB55V2	PO9FQAM3
1386624518	17D1027743	POW3D368	PO5HUDC3
1932362555	10D0276553	PODG3EH2	POV2V160
1013143940	12D0690609	POWQJBJ9	PO12K3X4
1396798302	44D0306974	PO2W8EV9	POH7E3M0
1366776601	52D1104619	POE3GNX2	PODQKKQ2
1366459570	33D0653799	PORQ6GW8	POXGXA39
1841453644	01D0026531	POR2BBR2	PON5V1C7
1104859131	31D0862033	PO1Q9CP6	POHJXQB2
1972676971	50D0631935	PON58068	POVNWJ60
1932283264	05D0712326	PO0DFJA9	POCDG842
1811184971	24D0698780	POKCE6E8	POMFT903
1548489024	05D1086025	POUX7X99	PO0WT224
1932159118	10D0292682	POCPNCJ0	POFE05V0
1568881670	45D0505043	PO867H64	POHV5646
1427035799	05D0923321	POFK51W9	PO24A0H1
1558744185	03D0682820	PON0QJT4	PO3C0N74
1003036237	10D1041696	PO7D7GQ0	POEAAGQ8
1548221153	45D0694412	POEGU9V5	POUF1W19
1770536120	45D0509577	PO1F03W5	POQPDKE8
1992737761	22D0710787	PO6D73U7	PONBTTE4
1578532487	36D0655784	PO3C2PU3	POU67606
1699757393	34D0242234	POM3WPG9	POBXXCF3
1760492714	06D0516124	POJ565R0	POVBJDB6
1750358297	05D0665695	POT9PEU3	POQC2XN0
1700826575	45D0485200	PO07CK99	PO4EFVG2
1841546678	45D2044580	POVURN73	POHM61T2
1629062799	26D0045995	PO2339W6	POMEMWR6
1548284060	44D0308253	POA9NVN1	PO7JKNK5
1194100735	22D1083041	POD3HF70	POFNRDW4
1740364017	27D0912752	POCMUW37	PO70R5N0
1538113725	05D0612009	PO99QB61	PO45GVU2
1689850497	45D0498741	PO0HPN93	POHJH694
1417980566	06D0516445	POCWD1X0	POAX12V2
1245275734	10D0268009	POFGA0G4	POCW6WT8
1578564373	43D0658962	PO6MH979	POHMFBM3
1598868655	36D0665877	PO6KXXK3	POJ7JBR6
1659304152	21D0722438	POW20Q94	PO57PN92
1164750840	19D0672493	PO1MH3W7	PO20T7H6
1023171634	17D0648205	POXACEF6	POGF2GH2
1982619466	05D0886122	PO9628N6	POMWAEK3
1235114778	26D0993524	POURMVB1	PO4WVA88
1063519098	45D0677352	PO82A6Q3	POETFJ64
1336111962	43D0658878	POVKGXC5	PO2HMNJ4
1134183171	52D0395951	PO0UDB24	POQ2C2K5
1639160799	19D0464754	PONCTG12	POB3WQJ8
1245344936	06D0512001	PO6VCKW2	POG68M97
1639386964	05D0716342	PO4A92N0	POHCFX23
1346661956	04D0642286	POF6FGP7	POEDWNG7
1821157892	44D0313618	PO90QR76	POQKFED1
1396792032	25D0690771	POUDKUR6	POC9KHF2
1740413798	05D0611473	PO0FCXE7	PO4RN8J5
1174947436	34D2012886	PO1FB0W0	POXGD652
1417919531	42D0252730	POA05X99	PO42XXN7
1528409984	45D2066207	PODU64R2	PO3J8R18
1083738827	45D0874784	PO6M3523	POGK4QH4
1225289895	50D0639598	POCE6BU2	PODP0CH6
1689818627	05D1092505	PO4HA9C3	PO51UDV3
1922009448	50D0638772	POHKT4H8	POQ9ETF5
1497790042	04D0670059	PO41BVX8	POCC4CA3
1780620526	05D0644251	POJA9UC7	POP820V3
1790028157	36D1071100	POGW60J9	PO81VCF6
1245408483	36D1086368	POEEMTA0	POAKTRU9
1962477356	17D0452625	POCENFM9	POQQP7F5
1982714358	36D0855634	PO8184C6	POT0U4D8
1063422053	39D0010502	PO406AV4	POM08H22
1669699039	34D1065254	POQ1TU97	PORB3R11
1932248747	40D0658065	POPDTJD9	POKFCR76
1699930586	11D0257174	PO3KJ7H8	POCMW0Q4
1770539637	39D0657398	POV6UJ01	PO0C6J65
1801217468	49D2039517	POAW2V77	PO77DM99
1538131362	39D0698461	POAD12F8	PO53H094
1841236684	39D0656976	POBXJBM7	PO7373N7
1720083769	07D0092519	POUEQ232	POGPWK38
1720042021	44D0308253	POA9NVN1	PO7JKNK5
1194069401	05D0549357	POCVWAG9	PODXNRE6
1265769624	45D0972281	POM5G532	POXPGR27
1326010398	10D0865729	POA556B4	POEK51V2
1700060662	10D1009543	POMN8KT4	POPM3NJ6
1528490240	05D1093224	POUU6C37	POUUH0B1
1750373908	31D0938156	POJ9HC46	PO91W420
1457403750	39D0193493	PO2TAMC2	PO095FK4
1154618742	45D0665458	POU0FTJ0	POVN4M01
1992834568	30D0084805	PORW0AQ7	PO2WDGV1
1578708368	34D0947174	PO3AV1D7	POPHUU11
1396840187	51D0898048	PO2GH408	POT0B376
1912131392	33D0721132	POV433B8	POF1FW62
1356490817	19D1063908	POBBX7C5	POJHEAJ4
1578571980	21D0665398	POW20Q94	POVUTN01
1316940695	10D1092290	PO2QNGB7	PO7U74U0
1336125640	10D0298676	POW07706	PO3AEFG7
1164469243	46D0660888	POFM1DD6	POHMPMN2
1679691778	04D0465446	POVJMAU1	POU91M76
1245265826	50D0712074	POA69U18	PO291FD8
1972517365	45D0055204	PO1V0WX1	POTJQ904
1932296092	50D0629327	PO229J61	POREJA10
1477500015	19D0464748	PO2HDEN4	PO0NAX67
1447299649	17D0451896	PO80HK83	POKBX3M2
1003810375	05D0608765	PO7Q4MX4	PO4FX815
1346636461	47D1056334	POQBEWC8	PO2RRGH3
1689635138	17D0452316	POHUE5N9	PO6PG9N7
1821011248	45D0502175	PO86WTA7	PO65HB96
1467433292	45D0975010	POHWX343	POR022G1
1700975083	19D0464454	POBBP907	POH98FN4
1659332666	45D0683439	PO2JWE46	PO395105
1114022167	11D1016973	POKJC267	PO42GQ31
1609830173	25D1060031	PO0ED285	POC7E037
1013973866	03D1019490	POQGJC35	POJ98A22
1679660617	10D0024302	POE4U228	PO52F192
1538112230	52D0395666	PO5VCF59	POR4BD51
1669545406	44D0659142	PODKPDJ6	POKFNKV2
1306220447	26D0443952	POBVH409	PORDA8U9
1407803638	52D0397482	PO0WX8A3	PO389NQ4
1457489502	05D0602367	PO3QMC03	PO4V9P72
1316026941	45D0497776	POC7MRP6	POEBUQ84
1487082046	05D0643007	POE7XVD2	PO0WFDB0
1215988530	30D0086170	POD4X5G9	POG1AW41
1407996978	39D0176771	PO8WNVE3	POHWGJ18
1508169145	23D2014804	POT6WBM6	POFWP504
1942288527	49D0224882	POP7XFE7	POBAEND5
1053342816	36D0350966	PO2X0N79	POGNUDA9
1740645886	34D2007101	PO3EKHB4	PO0P0935
1972651578	26D2018423	PON9DT86	POWK4PD7
1205162955	05D0643136	PO850PD7	POKJF655
1063421550	44D0311996	PO0H4BV0	POK8URN0
1821199340	44D0659144	PO338KJ0	PODKPDJ6
1366495012	45D0874784	PO4K6QC1	POGK4QH4
1124051644	49D0966000	POF9DH73	POPTQ7C8
1447212568	42D0252365	POAB1D52	POPDWNQ4
1891112637	22D0071593	POA7H705	POCTPTT1
1083655997	27D0652473	PO5CB146	POKGX703
1982606992	05D0592241	POKF25A7	POJPTU96
1720379092	36D0656094	PO4247E2	POAB4MW7
1659798536	19D0648865	PO62R376	POQVPW61
1225083074	33D0010389	PO57JV10	PO8B8TC7
1407136674	37D2026683	POHJUX00	POCDNX63
1881674182	45D0502642	POGK4QH4	PO6M3523
1902088040	19D0464754	POPWC0Q3	POB3WQJ8
1760498588	11D0257174	PO3KJ7H8	POCMW0Q4
1659619781	45D2054829	POC7UA62	POQ22FE7
1609804822	04D0049978	PO575N95	PORCV5A5
1538144910	34D0954530	PO66KTW9	PODA9685
1457488595	26D0443065	POE9DNW4	PO91FB92
1235369877	45D2008896	PO115WA8	POE752D6
1801168190	45D0499876	POP11526	POFQ85H5
1023191467	07D0095208	PO120NM7	POPBA154
1942416615	45D0508312	POWR8TA7	POUHXH81
1023167541	05D0643486	PO786873	PO8346R5
1457468464	37D1002749	PO68GM65	POAR5T49
1912982315	37D0656690	POW9C3R6	PO4D5MW3
1073587119	39D0179672	PO47G6B1	POU35WJ1
1790787935	27D0946844	POEF36K7	POXU8FG5
1326019977	11D0861031	POMNCXN0	POTEM946
1447342720	26D0445581	PO2GHD31	PORF68V7
1487602868	47D1068228	POQT1QV8	PO9R31R7
1508845322	33D0665276	POBXKAP1	PO1N6MD6
1861467573	45D0497776	POC7MRP6	POEBUQ84
1417960626	10D0645099	POUWKTQ5	PO2W4354
1003996000	01D0641705	PO3DHKW2	PO6109N0
1497863229	23D0374190	PO2JDCR3	POEUNW15
1295910800	14D0413954	POWDTXJ2	POX4HKD1
1366419517	05D0587924	POH4MR21	PO7A5M19
1891786315	01D0641693	POW194T4	POB3A664
1629042981	10D0285061	POAEA4Q9	POFDF391
1306914213	32D0950561	PO475P53	POHP29A4
1912964081	04D0665342	PO4MEE68	POQJ4X42
1346291648	03D0534154	POKCPRH9	PO072N44
1841224870	03D0526219	POV4C321	POQAFVA1
1063477123	49D0222887	PO6H46T8	POXRB0F0
1427107754	04D0466155	POC5HK05	POU3R0G5
1003878539	23D0366712	PO15C5W9	POAPKHE0
1548225428	05D0887857	PO03MHR7	POGR39Q3
1467430660	21D0981877	POKDFJ98	POA71N89
1528056066	11D0262416	POFHU2A9	PO81D6R4
1457330185	19D0464454	POXA3UU3	POH98FN4
1538400098	44D0307727	PO59UPG9	POWRAGA5
1023445590	34D2042731	POQ1TU97	PO416N19
1275510281	50D1022468	POHBEDJ7	POE0PPK1
1710105010	50D0631935	PO0UV802	POVNWJ60
