PROCEDURE_CODE	Q12012	Q22012	Q32012	Q42012	Q12013	Q22013	Q32013	Q42013	Q12014	Q22014
E2395	0	0	0	2108	1824	2057	2264	2120	2427	2898
E0657	81	13	23	12	14	21	6	9	7	19
B4035	180573	171576	156653	150369	153953	146882	150873	145485	149095	142712
E2391	0	0	0	1462	1315	1103	1305	1146	925	1132
K0040	0	0	0	5540	4808	4711	5162	5499	5725	5732
E2366	8295	8932	9092	8763	7886	7793	7459	6414	7007	8600
Q4045	3	1	0	1	0	0	0	0	0	5
L7007	48	46	45	58	51	45	41	46	32	29
E0950	0	0	0	1288	1233	1282	1187	1179	1236	1134
A6235	1236	1204	1083	1124	1136	986	1034	1003	969	1005
A6215	18	23	32	26	35	45	21	36	21	22
E2213	0	0	0	2678	2514	2434	2620	2706	2908	2599
L6703	26	22	20	25	18	20	30	15	23	28
E0601	803275	808107	817405	826863	849406	843279	855063	837241	832617	806825
E2368	0	0	0	363	374	374	369	426	349	353
A5102	1567	1627	1598	1674	1499	1478	1541	1644	1466	1412
E0630	86835	85744	84489	0	0	0	0	0	0	0
A4320	4356	4143	4136	3941	4107	4112	4506	4235	4077	3530
Q4046	17	8	0	0	1	0	0	0	2	0
E1810	17660	16621	15799	0	0	0	0	0	0	0
B4082	0	0	0	37	52	51	40	46	29	37
E0471	37177	38481	39874	41608	44500	45015	46891	46394	46314	45104
E2203	0	0	0	1301	1225	1204	1283	1219	1498	1498
Q4051	78	62	13	2	6	4	1	4	14	4
E0135	15216	14209	13195	13013	13055	12155	10931	10536	10030	9771
K0822	26779	25829	24672	21748	19718	17487	14430	11154	10248	9311
L3923	8446	8584	7953	8233	8721	9181	8444	8238	8573	7847
B4149	0	0	0	853	825	771	738	727	762	669
Q4038	101	173	71	4	9	7	1	4	8	14
E2209	0	0	0	1832	1735	1809	1684	1629	1638	1469
L6704	15	29	16	23	12	29	17	13	20	15
T4535	0	20	6	4	3	1	0	0	16	12
E0603	34	34	38	33	38	51	51	42	51	57
A7033	108218	115520	110931	117748	114697	122167	115033	126711	124161	134728
E0291	0	0	0	1	0	0	2	3	3	8
L6020	3	1	2	0	3	0	0	3	2	1
A6214	214	220	282	327	348	408	432	435	503	482
E0255	0	0	0	6545	7889	9238	10085	10560	11262	11763
A4344	5900	6046	6124	6255	6264	6112	6152	5835	5662	5782
E0304	0	0	0	588	585	500	453	462	404	385
K0195	357166	347546	329427	308156	299335	281829	266784	242255	236052	226095
A6254	248	262	244	258	241	232	242	248	259	283
A4425	26992	28243	29217	30864	28642	30082	31112	31746	29973	30803
B4102	216	213	162	168	162	137	135	127	128	123
B9002	72512	67120	61131	58966	61632	56611	61494	57594	60272	56488
E2377	2395	2732	2429	0	0	0	0	0	0	0
A6023	151	206	218	248	224	265	148	108	121	172
B4153	11698	11463	10842	10464	10738	10470	10201	10476	10686	10268
E0215	473	258	210	0	0	0	0	0	0	0
L1971	4645	5794	6412	6792	5998	6830	6330	6909	6320	7451
E0434	118543	108556	98159	91053	88820	80003	74918	67632	63918	55739
E2370	6505	7503	7511	7551	6397	5636	5714	5201	5469	6605
A6532	836	870	833	771	671	614	616	580	542	602
A6246	12	21	10	7	11	6	2	5	28	16
B4081	0	0	0	45	38	48	30	30	22	33
T4543	0	0	0	0	0	1	1	0	0	1
E2620	3165	3438	3151	3307	2803	2898	3368	3669	3363	3683
E2208	0	0	0	6020	5327	4640	3939	3499	3110	3301
L4396	14223	15590	16153	15043	14085	15525	16538	14604	13606	14670
Q4021	1	9	0	2	0	0	0	0	0	0
A4258	583187	586441	551716	0	0	0	0	0	0	0
E2374	5187	5814	6069	0	0	0	0	0	0	0
E0562	258271	259547	260907	263244	270165	271911	272944	269062	259786	254588
E0776	88580	84623	79407	75322	76307	72617	73416	62876	62353	59100
A4419	19035	19597	19698	20337	19019	19394	19851	20042	19201	19515
E2387	0	0	0	2425	2222	2505	2850	2790	2563	2587
A4424	6770	6807	7141	7391	6877	7228	7634	7754	7334	7755
A6210	5254	5203	5151	0	0	0	0	0	0	0
95806	0	1	1	1	1	0	14	14	1	0
E0604	38	24	25	57	23	29	21	24	26	25
E0961	0	0	0	24858	25121	24834	22800	20741	19547	19131
E2367	0	0	0	207	156	167	159	151	139	93
A6253	5868	5740	5918	0	0	0	0	0	0	0
A7039	165514	170953	165006	173488	167585	179799	165740	184737	172204	190847
A9276	2127	2161	2330	2509	2466	2592	2837	3179	2889	3454
L8010	843	909	909	903	781	994	879	882	692	853
Q4006	6	12	0	1	0	0	0	0	0	2
A7044	0	0	0	251	224	227	203	195	178	172
A4253	3415047	3400337	3349524	0	0	0	0	0	0	0
A6257	3020	3003	3016	2877	3109	3115	2962	2985	2837	2767
L1843	4056	5632	6323	6527	6840	8594	8735	9644	9197	9460
A6245	31	38	64	81	106	104	147	130	94	111
E0666	134	215	230	195	144	164	221	114	153	154
B4104	76	51	32	39	48	65	78	56	74	70
Q4035	0	1	0	0	0	0	0	0	0	0
K0814	0	0	0	1383	1288	1127	1012	867	696	544
E0292	0	0	0	63	72	87	78	71	67	51
E0990	9140	9187	8761	7995	7289	6915	6624	6381	6256	5205
K0005	2495	2488	2338	0	0	0	0	0	0	0
A6251	3416	3017	2854	2757	2667	2674	3095	2042	1909	1793
L6880	19	15	9	16	16	22	34	31	23	39
E2371	0	0	0	22	14	17	13	7	13	9
L6707	3	3	6	5	2	3	6	5	3	5
E2614	0	0	0	61	38	31	35	34	38	38
Q4008	1	0	0	0	0	0	0	0	0	0
E0730	74804	76613	63459	0	0	0	0	0	0	0
A6540	165	162	156	203	123	185	145	160	123	146
A6239	2	3	2	6	2	5	5	3	1	0
K0826	0	0	0	234	183	156	144	144	158	162
K0739	77407	82159	81941	0	0	0	0	0	0	0
E0147	0	0	0	981	906	1027	889	815	711	792
E2605	0	0	0	1230	1000	919	875	873	727	846
K0462	0	0	0	11129	8969	7533	7904	7608	8115	9454
B4158	21	17	13	16	15	25	15	22	26	22
E2384	0	0	0	555	521	574	655	629	512	603
T4541	1	5	5	4	9	4	5	5	19	29
L1930	4516	4471	4480	4175	3813	4098	4043	3712	3436	3783
E0992	0	0	0	686	674	684	561	578	528	540
E2369	0	0	0	191	175	192	172	153	126	148
L3480	539	512	486	451	387	460	437	371	291	376
L1902	19464	23627	25471	27507	21581	25264	26896	24984	24138	27908
E0450	5919	5663	5367	5081	4976	4810	4741	4656	4662	4363
L6010	0	3	3	2	3	0	3	1	4	2
A6197	8480	8631	9276	0	0	0	0	0	0	0
A6213	735	674	763	673	697	707	771	767	713	746
E0277	37135	35901	33417	31310	31835	30819	29044	26734	25592	23630
K0001	469041	463874	457613	450650	457656	448473	445779	433964	426876	412045
T4527	1	17	1	4	5	9	5	0	17	9
A4323	0	0	0	0	1	0	0	0	0	0
K0053	0	0	0	3287	3631	3442	3231	2997	2490	2136
E0600	38286	37298	35993	0	0	0	0	0	0	0
A6223	4179	4438	4587	4475	4397	4515	4858	4885	4833	4806
A7045	0	0	0	1098	1283	1418	1654	2448	981	884
E0973	56473	57191	55126	52979	50350	48302	42488	39877	38353	36807
E1392	124259	129302	137066	149964	167579	173123	187392	188842	196836	196066
K0052	0	0	0	2652	3048	2774	3080	2874	3025	4129
E0665	28	31	21	21	25	35	24	21	28	29
A6252	11612	11883	12276	0	0	0	0	0	0	0
E2613	0	0	0	1282	1117	1119	1090	1138	1139	1121
L1970	8342	9259	9039	8709	7151	8289	8544	8097	6967	7951
E0650	475	610	673	632	632	707	780	595	687	794
E0159	0	0	0	2104	2065	2280	1921	1429	1261	1327
B4160	589	568	562	552	571	557	467	479	538	477
E0424	0	0	0	745	886	860	833	795	1019	1028
A7037	422638	426523	403866	410645	397075	415076	378349	409933	391156	415823
E0433	0	0	0	118	137	84	58	42	40	34
E1390	2996229	2798606	2644323	2577852	2715106	2596641	2674237	2550531	2638466	2532320
E2611	18105	18915	17940	17869	18715	19276	14955	16192	15394	16715
K0824	2823	2791	2645	2266	2053	1837	1596	1276	1219	1178
K0849	526	553	499	0	0	0	0	0	0	0
A6231	5079	4801	4376	3999	4078	4383	4838	4293	4522	4353
E0158	0	0	0	307	321	323	280	321	340	345
A5063	59896	60772	60797	61999	56279	57447	57873	57993	53344	54243
A6530	10764	12245	12202	12182	10871	12887	12629	11989	10800	13232
A4430	6167	6522	6506	6802	6217	6451	6636	6709	6322	6522
E0163	112033	104795	98557	0	0	0	0	0	0	0
E2311	2501	2781	2534	0	0	0	0	0	0	0
A6537	65	71	53	63	48	52	45	47	36	48
E0261	26591	26951	27105	27607	28821	28712	27582	24614	22365	20302
E0442	55825	56166	57020	57802	59302	58190	58682	55691	53847	49654
E0672	21	28	21	26	34	22	28	14	19	13
L1960	6296	6810	6455	6071	5499	6054	5947	5767	4923	5406
A4340	3772	3827	3817	3831	3806	3768	3690	3519	3401	3575
L3650	6547	6506	6506	6480	6876	6978	7442	7856	8403	7807
L6722	2	3	6	3	5	3	3	6	4	3
L1800	2	2	3	0	1	1	1	1	0	0
L1830	10506	10507	10310	9986	9995	10246	10549	10315	10216	10794
E0951	0	0	0	28182	28271	28365	26019	24204	21718	19439
E1340	0	0	0	0	0	1	0	0	0	0
A6232	39	50	58	56	42	46	52	62	68	89
L8300	441	455	457	416	411	382	434	380	336	338
E2396	0	0	0	930	786	847	869	757	928	1089
L0120	5485	5423	5162	5062	5196	5154	5163	4861	4739	4965
Q4050	32	12	6	4	4	4	11	0	0	4
E0470	145940	145775	144734	145166	149087	148229	150116	149239	147824	144906
E1016	0	0	0	276	251	158	161	192	175	179
E0668	521	545	555	469	524	660	565	570	501	613
Q4037	7	8	10	3	3	2	0	0	0	0
E0316	0	0	0	20	20	16	16	18	10	16
A4354	1497	1573	1601	1678	1705	1788	1639	1629	1502	1571
A6531	5560	5747	5992	6457	5510	6145	6101	6119	5077	5713
B4087	0	0	0	5566	5501	5022	4341	4261	4112	3985
K0738	196956	190073	181812	179193	186470	182339	190701	200037	214538	220999
E0720	11647	12721	10879	0	0	0	0	0	0	0
K0802	0	0	0	22	24	18	12	16	12	8
E2310	1277	1278	1149	0	0	0	0	0	0	0
E2321	701	703	662	0	0	0	0	0	0	0
E0570	1082101	1042367	1020041	0	0	0	0	0	0	0
A7027	0	0	0	3639	3525	3543	3159	3250	3165	3133
E0302	0	0	0	183	201	183	149	129	110	97
E2231	0	0	0	2329	2230	2254	2600	2489	2883	2498
A6199	3573	3643	3737	3563	3296	3487	3859	3957	3781	4005
L6000	3	11	7	4	1	6	3	5	3	3
E0310	0	0	0	1636	2091	1784	1993	1998	1873	1445
E2201	0	0	0	9411	9892	9812	0	0	9304	9194
E0185	19228	18111	17091	0	0	0	0	0	0	0
E0443	205696	200463	197430	189162	191611	191790	196956	192747	183241	172881
E0940	0	0	0	11172	10867	10084	9883	9497	9040	8353
E2383	0	0	0	296	243	232	258	268	185	202
A4352	21361	21922	23319	24381	24517	25654	27015	27001	27110	28435
E0667	10732	11802	13310	6229	5942	6650	6364	6430	5184	6216
A6536	272	252	315	367	344	310	280	282	241	246
E0655	57	46	55	79	77	98	162	84	92	76
K0019	0	0	0	8724	7988	7339	7366	6494	5922	6511
E0105	16216	16538	16278	0	0	0	0	0	0	0
K0861	2002	2269	2050	0	0	0	0	0	0	0
A6247	16	17	7	12	13	12	5	8	7	27
B4150	115192	108938	102519	99062	98590	94013	94912	92761	94510	88471
A4256	1115736	1113214	1098443	0	0	0	0	0	0	0
E0303	12136	12027	11931	11322	11448	11064	10621	10111	9502	8855
E0373	0	0	0	135	91	85	103	121	184	256
E2612	0	0	0	457	505	534	397	497	480	584
E2206	0	0	0	1746	1967	1925	1769	1841	1839	2150
E0673	147	266	303	2937	5292	5695	5688	5020	6181	9148
A6258	3150	3250	3388	3343	3334	3404	3514	3390	3118	3149
A9270	67446	66851	64221	64425	62541	61183	61069	58083	55357	54354
T4523	2	0	1	0	0	1	0	1	18	10
E0181	58066	55703	54085	0	0	0	0	0	0	0
E1161	2300	2638	2469	0	0	0	0	0	0	0
A6240	1611	2047	2214	2256	2337	3027	3305	2901	2963	3308
A6198	24	46	35	34	36	29	42	18	31	49
E2202	0	0	0	743	813	828	841	818	832	814
L3710	254	265	244	237	295	298	356	298	330	345
Q4014	4	4	1	1	0	0	0	0	0	3
E0251	0	0	0	241	131	122	125	137	169	183
E0669	477	505	288	318	530	282	274	259	309	395
E1031	0	0	0	16164	15569	14759	13608	11899	10297	8812
95800	0	0	0	1	0	0	1	0	0	0
E0250	0	0	0	4349	5552	6613	8045	9224	10532	11850
E0561	0	0	0	547	489	504	430	347	304	277
A6203	1566	1691	1719	1540	1577	1815	1879	1741	1792	1922
A4385	34109	35907	36977	39217	37175	39117	41237	42458	40423	41266
A6021	27629	23897	21610	0	0	0	0	0	0	0
A6237	1629	1587	1420	1323	1298	1457	1369	1307	1289	1206
K0825	32216	32120	30402	27120	24270	20460	15283	9776	9728	9756
L6706	52	62	52	56	37	39	51	47	45	48
S9343	2	0	1	2	0	0	0	0	0	0
T4524	3	2	3	1	0	0	0	0	10	3
A6244	11	9	8	5	3	7	5	3	10	14
B4103	81	68	66	68	79	86	54	56	66	67
B4036	16711	15902	15030	14920	15413	14675	13455	13386	13766	13520
L1845	4391	5685	5470	5715	5826	6659	6640	6278	4526	5457
K0851	85	84	80	80	61	55	29	20	26	34
E0156	76594	86320	83036	77629	73425	85063	68095	62742	55522	69015
K0004	176635	170357	166020	160558	159760	153718	144701	129815	114240	94551
A5105	487	494	455	411	355	361	385	371	375	405
E0960	0	0	0	1492	1331	1362	1444	1453	1563	1403
E0671	124	128	109	108	93	109	77	58	58	152
A6222	18833	16915	17465	0	0	0	0	0	0	0
A6207	904	962	1070	997	1047	1160	1348	1428	1315	1584
T4522	4	6	1	3	2	3	3	2	2	3
A4389	4711	4936	5028	5235	4801	5119	5272	5394	4971	5121
T4536	0	0	1	2	0	1	0	0	5	4
Q4034	0	0	0	0	0	0	1	0	0	0
K0816	0	0	0	456	414	453	849	1787	3055	4415
E0784	28639	29074	29764	31078	33357	33686	33468	32294	31078	30739
E0293	0	0	0	38	29	28	24	9	7	9
A7038	493417	516138	481990	505467	499616	530279	502265	550810	539514	578689
E0911	0	0	0	477	502	427	387	372	376	334
K0006	29294	28742	28003	27150	27642	27258	26506	24965	24136	22571
K0077	0	0	0	1145	1260	1233	1091	1322	1051	1180
A4351	99177	102453	106092	108263	107602	109466	113354	111704	110500	112776
L8310	336	309	321	290	314	289	299	303	230	291
Q4013	2	0	0	0	0	0	0	1	0	0
E0957	0	0	0	404	350	365	405	407	443	404
E2402	32054	32429	31629	30870	29814	31592	32345	32111	30742	31155
L3660	2815	2715	2852	3034	3189	3254	3168	3348	3786	3681
A6535	78	83	88	77	82	76	86	86	75	76
B4152	94287	92463	87660	86306	87131	85341	85967	86521	89285	87070
A7031	141953	153707	146554	156477	157829	165938	163346	184486	187043	202117
E0305	0	0	0	2683	2775	2615	2657	2597	2503	2290
E2602	0	0	0	1359	1368	1420	1268	1341	1360	1437
A6010	904	935	1230	0	0	0	0	0	0	0
A4500	762	715	696	606	632	736	727	661	640	722
E0295	0	0	0	3964	3989	3952	3750	3631	3352	3253
E0472	0	0	0	73	88	72	79	61	62	48
L6715	2	4	2	1	2	2	3	3	2	5
A6550	38394	39856	37660	38107	35956	37643	38351	37983	34292	36010
E2616	0	0	0	76	95	95	71	62	76	61
E0670	0	0	0	1	2	6	4	5	1	5
L0172	2574	2714	2394	2433	2396	2396	2519	2325	2254	2509
E0154	0	0	0	4272	4204	4027	3612	3456	3199	3167
L5301	4928	5318	5133	4860	4151	4644	4717	4915	4174	5020
A6211	765	688	746	776	660	708	852	873	812	868
A6255	109	123	121	128	120	102	120	208	152	132
E2365	45385	49412	45668	38243	30931	27745	23457	18858	17566	21933
Q4009	1	1	2	0	0	1	1	0	0	0
A4324	0	0	0	0	0	0	0	2	0	0
A7032	136058	140928	133023	138736	138070	146388	142046	160333	158522	162684
E0602	1	0	0	0	1	2	5	4	4	2
E2392	0	0	0	8391	6729	5127	5490	4793	4838	5922
A6233	15	22	18	21	20	143	73	26	18	16
A6238	490	445	432	435	351	288	328	296	274	303
L6025	1	1	0	2	3	0	5	4	4	6
E0910	0	0	0	43845	42709	39711	37366	34122	31775	28418
A7005	137740	124371	114572	0	0	0	0	0	0	0
A4580	164	184	106	23	33	23	26	15	18	19
L1820	11174	12284	12955	13366	13594	15974	16552	15549	16455	19015
E0656	216	31	23	28	32	41	20	21	18	18
A6544	4	3	2	2	7	1	1	2	3	4
A6204	482	391	455	387	491	529	459	395	430	388
B9000	0	0	0	166	175	169	157	97	101	108
E0956	0	0	0	3785	3390	3533	3959	4353	4035	4236
E1038	0	0	0	66608	66209	64716	61262	56737	53076	48553
E2204	0	0	0	139	148	185	217	286	358	233
E0464	4735	5595	6605	7712	9352	11083	13606	17632	22432	27410
A6538	5	12	3	6	10	13	8	7	4	9
Q4017	1	0	5	0	0	0	0	0	0	0
A6241	35	20	21	13	27	35	39	41	39	33
E2608	0	0	0	277	226	250	250	264	237	242
A4432	23635	24629	25152	25925	23687	24489	25292	25545	23563	24301
K0108	49438	52523	51286	0	0	0	0	0	0	0
A6024	66	62	41	38	45	53	70	57	58	62
